feature_1,feature_2,correlation
total_lines_changed,review_approved_count,-0.08042733093838146
review_dismissed_count,title_croatian_words,0.07873203403810448
deletions,description_croatian_pct,-0.07773562078742002
review_dismissed_count,time_to_first_approval_minutes,0.07741297164301927
review_changes_requested_count,description_croatian_pct,0.07651828862591825
deletions,review_commented_count,0.07565021619153443
additions,review_approved_count,-0.07100019145105634
title_length,time_to_first_review_minutes,-0.06887724165499237
total_lines_changed,review_commented_count,0.06815324291900449
total_lines_changed,description_croatian_pct,-0.06803906873677928
changed_files,title_croatian_words,-0.06401615761253772
changed_files,description_croatian_words,0.06360414477496448
additions,review_commented_count,0.0629229853241267
comments,images_count,0.06202505644039939
additions,description_croatian_pct,-0.06169816335823608
reviewer_count,total_lines_changed,-0.061499972193780325
comments,title_length,-0.06144064881909389
reviewer_count,additions,-0.061362730293731176
images_count,time_to_first_approval_minutes,0.06043474887284614
reviewer_count,deletions,-0.05920944517652272
review_approved_count,time_to_first_review_minutes,0.058302800297084456
review_commented_count,images_count,0.057937625233915005
commits,review_approved_count,0.05719299253778442
changed_files,review_changes_requested_count,0.05705231731782029
title_croatian_words,non_working_minutes,-0.05579509804224042
deletions,review_comments,0.053091837265761076
deletions,review_requested_count,-0.05287112183992715
commits,title_croatian_words,-0.04988955087272397
deletions,review_count,0.04859359340276703
additions,description_croatian_words,0.04718727489239336
title_croatian_words,effective_minutes,-0.0465644276495011
total_lines_changed,review_count,0.04620389137946818
total_lines_changed,review_requested_count,-0.045412834777203495
review_changes_requested_count,images_count,-0.04504492560766432
review_dismissed_count,description_croatian_pct,-0.04414340100062388
review_dismissed_count,non_working_minutes,0.04410018505766574
additions,review_count,0.044020726283422365
changed_files,review_approved_count,-0.04365961487073175
additions,title_croatian_words,-0.04248614507748038
total_lines_changed,description_croatian_words,0.041772466693606486
total_lines_changed,title_croatian_words,-0.04175811486895312
additions,review_requested_count,-0.04068148422578558
deletions,title_croatian_words,-0.03858000133782287
additions,review_changes_requested_count,0.0373615505593001
review_requested_count,images_count,-0.03397514133596364
review_dismissed_count,description_croatian_words,-0.033027628532036224
review_count,title_croatian_words,-0.03238092872755615
review_count,images_count,0.031086062506651295
review_dismissed_count,effective_minutes,0.03085905044522066
review_approved_count,title_croatian_words,-0.029478141305803014
review_changes_requested_count,time_to_first_review_minutes,0.029474695955951275
deletions,description_croatian_words,0.029331910185769673
review_dismissed_count,images_count,-0.028008706874363486
total_lines_changed,review_changes_requested_count,0.027600050525306334
review_count,review_dismissed_count,0.027281199627553692
reviewer_count,images_count,-0.027051146845573002
commits,review_dismissed_count,0.027034721893236125
title_length,description_croatian_words,-0.02628659878786966
commits,images_count,0.026199057311751955
review_commented_count,title_croatian_words,-0.025499812078160006
comments,review_dismissed_count,-0.024884000443328353
review_dismissed_count,review_requested_count,0.024521218604292953
title_length,images_count,0.02429930973539465
comments,title_croatian_words,-0.023517023393518997
deletions,images_count,-0.02344329472867543
changed_files,review_requested_count,0.02302579880379911
images_count,non_working_minutes,-0.02039978822756024
review_dismissed_count,description_word_count,-0.020213134355147547
title_croatian_words,time_to_first_review_minutes,-0.020156699282349453
images_count,time_to_first_review_minutes,0.019981229650563287
changed_files,images_count,-0.019285901465232392
review_dismissed_count,description_length,-0.016700535207295936
images_count,effective_minutes,0.0151269890700474
review_comments,review_dismissed_count,0.0132689147480234
review_changes_requested_count,review_dismissed_count,-0.013005946702890646
reviewer_count,changed_files,0.011459921855446883
review_commented_count,review_dismissed_count,0.011145142047357367
review_approved_count,review_dismissed_count,-0.010953084640881875
review_comments,title_croatian_words,0.010491758160098601
deletions,review_dismissed_count,-0.008173413962638898
reviewer_count,review_dismissed_count,-0.0076870526999923165
review_dismissed_count,title_length,-0.007662719060345058
deletions,review_changes_requested_count,0.007160057485955083
description_word_count,title_croatian_words,0.007057724235071333
additions,images_count,0.007051255983482691
total_lines_changed,review_dismissed_count,-0.006170670160124677
reviewer_count,time_to_first_review_minutes,-0.006032845800369694
description_length,title_croatian_words,0.005573792344370686
additions,review_dismissed_count,-0.005027152671008855
commits,description_croatian_pct,-0.004463462572718561
total_lines_changed,images_count,-0.003240353745087916
changed_files,review_dismissed_count,-0.002720388320409757
title_croatian_words,time_to_first_approval_minutes,-0.001915005071192527
