pr_number,pr_id,created_at,closed_at,merged_at,updated_at,ready_for_review_time,workflow_start_time,author_login,author_id,merged_by_login,reviewer_count,reviewers,additions,deletions,changed_files,commits,total_lines_changed,comments,review_comments,review_count,review_approved_count,review_commented_count,review_changes_requested_count,review_dismissed_count,first_review_time,first_approval_time,review_requested_count,title,title_length,repo_language,description,description_length,is_bug_fix,is_new_feature,is_update,is_refactor,is_backend,is_frontend,task_id,images_count,body,description_word_count,description_croatian_words,description_croatian_pct,title_croatian_words,time_to_first_review_minutes,time_to_first_approval_minutes,non_working_minutes,effective_minutes
510,2840983586,2025-09-18T16:44:26Z,2025-09-22T07:20:48Z,2025-09-22T07:20:48Z,2025-11-21T22:45:46Z,,2025-09-18T16:44:26+00:00,[user_5],5,[user_5],6,[user_2]|[user_4]|[user]|[user_6]|[user_7]|[user_3],38,1,6,4,39,0,0,3,3,0,0,0,2025-09-18T20:49:38+00:00,2025-09-18T20:49:38+00:00,6,815 be nedostaje id mismatch validacija,39,TypeScript,"Dodana ID mismatch validacija, ali ne na svim PATCH/PUT rutama, vec na onim koje sadrže ID u bodyu. Mogu dodat i na ostale.",123,False,False,False,False,True,False,TASK_ID,0,"# Description

Dodana ID mismatch validacija, ali ne na svim PATCH/PUT rutama, vec na onim koje sadrže ID u bodyu. Mogu dodat i na ostale.",24,20,83.33333333333334,0,245.2,245.2,2880.0,2316.3666666666663
511,2841391659,2025-09-18T19:07:50Z,2025-09-25T11:56:02Z,2025-09-25T11:56:02Z,2025-09-25T11:56:03Z,2025-09-22T20:51:27Z,2025-09-18T19:07:50+00:00,[user_6],6,[user_6],3,[user_4]|[user]|[user_7],54,26,1,4,80,0,6,2,1,1,0,0,2025-09-18T22:14:58+00:00,2025-09-23T13:56:26+00:00,3,954 fe način isporuke,21,TypeScript,Checkboxovi za način isporuke nisu funkcionirali. Da bi se promjenio način isporuke trenutni checkbox bi se morao odznačiti kako bi se drugi mogao označiti. Sada koristimo radio botune.,185,True,False,False,False,False,True,M1qdXb5Y,0,"# Description

Checkboxovi za način isporuke nisu funkcionirali. Da bi se promjenio način isporuke trenutni checkbox bi se morao odznačiti kako bi se drugi mogao označiti. Sada koristimo radio botune.",28,25,89.28571428571429,2,187.13333333333333,6888.6,2880.0,6768.200000000001
512,2844141683,2025-09-19T14:51:38Z,2025-09-22T08:44:02Z,2025-09-22T08:44:02Z,2025-09-22T08:44:04Z,,2025-09-19T14:51:38+00:00,[user_2],2,[user_2],6,[user_4]|[user]|[user_5]|[user_6]|[user_7]|[user_3],28,92,6,2,120,0,0,2,2,0,0,0,2025-09-20T13:25:50+00:00,2025-09-20T13:25:50+00:00,6,946 BE: Validacijski responsovi,31,TypeScript,NestJS-ov HttpException tip ima cause atribut kojeg san iskoristia da se ispisu validacijske greske. Maka san one provjere tipa errora jer ce uvik bit Yupov Validation Error ako padne validacija. Updatean ApiError tip,217,False,False,True,False,True,False,7OYiVh93,0,"# Description

NestJS-ov HttpException tip ima cause atribut kojeg san iskoristia da se ispisu validacijske greske. Maka san one provjere tipa errora jer ce uvik bit Yupov Validation Error ako padne validacija. Updatean ApiError tip",34,1,2.941176470588235,0,1354.2,1354.2,2880.0,1072.4
513,2846140906,2025-09-20T09:37:40Z,2025-09-23T14:15:43Z,2025-09-23T14:15:43Z,2025-09-23T14:15:45Z,,2025-09-20T09:37:40+00:00,[user_2],2,[user_2],6,[user_4]|[user]|[user_5]|[user_6]|[user_7]|[user_3],170,137,13,5,307,0,5,6,2,4,0,0,2025-09-20T13:55:22+00:00,2025-09-22T21:50:57+00:00,8,965 FS Azurirat user permisije,30,TypeScript,Di god su falile neke permisije dodane da se svih 15 koristi svugdi.,68,False,False,False,True,True,True,O6bBz8zK,0,"# Description

Di god su falile neke permisije dodane da se svih 15 koristi svugdi.",13,2,15.384615384615383,0,257.7,3613.2833333333338,2220.0,2378.05
514,2850492404,2025-09-22T17:52:23Z,2025-10-13T23:54:18Z,2025-10-13T23:54:18Z,2025-10-13T23:54:20Z,2025-10-07T11:52:36Z,2025-09-22T17:52:23+00:00,[user_4],4,[user_4],4,[user_2]|[user_4]|[user]|[user_3],312,10,19,54,322,5,53,27,2,25,0,0,2025-10-07T15:11:48+00:00,2025-10-13T08:02:25+00:00,10,958 fs idle status part 1,25,TypeScript,"- cron puni ""temp"" tablicu WaitingReminders - provjerava je svaka 3 sata - ako uhvati entitet sto 2 tjedna je u status ""čekanje"", kreira notifikaciju svim korisnicima -> userId je null u Notification - pošto je userId null onda sam stavio da je u takvoj notifikaciji je creator ""Sustav"" - ako smo za jedan resurs/entitet vec napravili reminder notif onda nece opet za isti - ako se 13ti dan, minut prije, promjeni status u nešto drugo - ne stvara notifikaciju - zasad imamo status samo na event objektu pa njih samo provjeravamo sada ZA TESTIRAT: - U reminder.service.ts na ln 22 prominit Cron okidanje na neko manje vrijeme npr. EVERY_10_SECONDS - Kreirat event sa statusom čekanje. Otvori prisma studio i trebao bi biti u WaitingReminder tablici novi redak za taj event. - prominit njegov waitingSince datum na 14 dana prije. - u iducem pozivu crona bi se trebala onda stvorit notifikacija u Notifications i prikaze se na frontenu.",933,False,False,True,False,True,True,,0,"# Description

- cron puni ""temp"" tablicu WaitingReminders
- provjerava je svaka 3 sata 
- ako uhvati entitet sto 2 tjedna je u status ""čekanje"", kreira notifikaciju svim korisnicima -> userId je null u Notification
- pošto je userId null onda sam stavio da je u takvoj notifikaciji je creator ""Sustav""
- ako smo za jedan resurs/entitet vec napravili reminder notif onda nece opet za isti
- ako se 13ti dan, minut prije, promjeni status u nešto drugo - ne stvara notifikaciju
- zasad imamo status samo na event objektu pa njih samo provjeravamo sada

ZA TESTIRAT:
- U reminder.service.ts na ln 22 prominit Cron okidanje na neko manje vrijeme npr. EVERY_10_SECONDS
- Kreirat event sa statusom čekanje. Otvori prisma studio i trebao bi biti u WaitingReminder tablici novi redak za taj event.
- prominit njegov waitingSince datum na 14 dana prije.
- u iducem pozivu crona bi se trebala onda stvorit notifikacija u Notifications i prikaze se na frontenu.",148,129,87.16216216216216,0,21439.416666666668,29650.033333333333,10080.0,20521.916666666664
515,2851084068,2025-09-22T20:42:58Z,2025-09-25T11:55:17Z,2025-09-25T11:55:17Z,2025-09-25T11:55:19Z,2025-09-23T17:15:03Z,2025-09-22T20:42:58+00:00,[user_6],6,[user_6],4,[user_4]|[user]|[user_7]|[user_3],9,44,1,7,53,0,3,4,2,2,0,0,2025-09-24T09:30:58+00:00,2025-09-24T10:26:06+00:00,5,FE: UI tablice korisnika,24,TypeScript,Na prikazu korisnika checkboxovi za sve permisije zasebno zamijenjeni samo counterom permisija.,95,False,False,True,False,False,True,G3DyNUdA,0,"# Description

Na prikazu korisnika checkboxovi za sve permisije zasebno zamijenjeni samo counterom permisija.",12,2,16.666666666666664,0,2208.0,2263.1333333333337,0.0,3792.3166666666666
516,2851450888,2025-09-22T23:28:46Z,2025-09-25T11:54:59Z,2025-09-25T11:54:59Z,2025-09-25T11:55:01Z,2025-09-23T17:15:28Z,2025-09-22T23:28:46+00:00,[user_6],6,[user_6],3,[user_4]|[user]|[user_7],22,64,11,1,86,0,0,1,1,0,0,0,2025-09-24T18:58:53+00:00,2025-09-24T18:58:53+00:00,4,FE: Dodati isLoading na Button,30,TypeScript,Dodan isLoading prop na Button. Svugdje gdje se koristi Spinner dodan isLoading buttonu.,88,False,False,True,False,False,True,ihpfgwUA,0,"# Description

Dodan isLoading prop na Button. Svugdje gdje se koristi Spinner dodan isLoading buttonu.",13,1,7.6923076923076925,1,2610.116666666667,2610.116666666667,0.0,3626.2166666666662
517,2856779658,2025-09-24T12:27:31Z,2025-09-26T07:27:27Z,2025-09-26T07:27:27Z,2025-09-26T07:27:29Z,2025-09-24T13:36:59Z,2025-09-24T12:27:31+00:00,[user_2],2,[user_2],7,[user_2]|[user_4]|[user]|[user_5]|[user_6]|[user_7]|[user_3],560,367,23,14,927,0,2,5,3,1,1,0,2025-09-25T17:44:03+00:00,2025-09-25T18:56:32+00:00,6,934 FS Validacije,17,TypeScript,"Ciscenje validacije za event, inventory item i usera: - Dodani strict:true na pozivima event, inventoryItem i user validatora na BE - Maknuti atributi isEditing, provjerava se edit mode po tome da li je ID prisutan u objektu koji se validira - Omoguceno slanje samo polja koja zelimo mijenjati putem PATCHa (nemora se sve slat da prodje validator) - Dodani typeError u validatorima sa porukom za provjeru tipa polja - Obrisana 2  nekoristena tipa iz packages/types/_user.ts - Alignanje/updateanje zastarjelih tipova - Manje promjene na hookovima za forme - Forme koriste validatore u create modu jer uvik salju sva polja na PATCH (u edit modu kad bi stavili neko required polje na prazno proslo bi validaciju a nebi tribalo) - Updatean frontendUserValidation da required polja ostanu required osim passworda koji je opcionalan na editu - Maknut id parametar iz update metoda u servisima jer sami updateData vec sadrzava ID a u controlleru se svakako provjerava ID Mismatch Namucia san se oko toga da nam ovi validatori valjaju za create i za patch za FE i BE, naletia san miljon problema i sa tipovima i sa bugovima a najvise san izgubia vrimena kad mi je prolazilo validaciju u edit modu na FE a na BE padala a koriste istog validatora: na kraju san skonta da formik pribaci prazan string u undefined tokom validacije zbog cega bi proslo u edit modeu na FE jer polje bude optional a na BE bi palo jer se tamo ne pretvori u undefined. Naletia san i na issue za to: https://github.com/jaredpalmer/formik/issues/805",1513,False,False,False,True,True,True,5ha9DNWq,0,"# Description

Ciscenje validacije za event, inventory item i usera:

- Dodani strict:true na pozivima event, inventoryItem i user validatora na BE
- Maknuti atributi isEditing, provjerava se edit mode po tome da li je ID prisutan u objektu koji se validira
- Omoguceno slanje samo polja koja zelimo mijenjati putem PATCHa (nemora se sve slat da prodje validator)
- Dodani typeError u validatorima sa porukom za provjeru tipa polja
- Obrisana 2  nekoristena tipa iz packages/types/_user.ts
- Alignanje/updateanje zastarjelih tipova
- Manje promjene na hookovima za forme
- Forme koriste validatore u create modu jer uvik salju sva polja na PATCH (u edit modu kad bi stavili neko required polje na prazno proslo bi validaciju a nebi tribalo)
- Updatean frontendUserValidation da required polja ostanu required osim passworda koji je opcionalan na editu
- Maknut id parametar iz update metoda u servisima jer sami updateData vec sadrzava ID a u controlleru se svakako provjerava ID Mismatch

Namucia san se oko toga da nam ovi validatori valjaju za create i za patch za FE i BE, naletia san miljon problema i sa tipovima i sa bugovima a najvise san izgubia vrimena kad mi je prolazilo validaciju u edit modu na FE a na BE padala a koriste istog validatora: na kraju san skonta da formik pribaci prazan string u undefined tokom validacije zbog cega bi proslo u edit modeu na FE jer polje bude optional a na BE bi palo jer se tamo ne pretvori u undefined. Naletia san i na issue za to: https://github.com/jaredpalmer/formik/issues/805",254,57,22.440944881889763,0,1756.5333333333333,1829.0166666666669,0.0,2579.9333333333334
518,2859548297,2025-09-25T07:45:41Z,2025-09-29T10:33:55Z,2025-09-29T10:33:55Z,2025-09-29T10:33:57Z,,2025-09-25T07:45:41+00:00,[user_3],3,[user_3],7,[user_2]|[user_4]|[user]|[user_5]|[user_6]|[user_7]|[user_3],254,80,14,51,334,0,9,10,3,6,1,0,2025-09-25T07:56:40+00:00,2025-09-25T15:15:39+00:00,7,919 FE: Notifications workaround,32,TypeScript,"Na klik notifikacije se otvara prozor s promjenama koje su se dogodile. Za testiranje mergajte https://github.com/[user]/[repo]/pull/482 branch u ovaj. Napravljene su sljedeće izmjene: - Dodana nova komponenta ChangesPage - Prilagođene rute za navigaciju i za api - Dodan useFetchChange hook - Reusable helperi iz Changes komponente prebačeni u changes.helpers.ts, tako da se mogu koristiti i u ChangesPage - Popravljeni tipovi",429,False,False,True,False,False,True,6OiXZ6GD,0,"# Description

Na klik notifikacije se otvara prozor s promjenama koje su se dogodile. Za testiranje mergajte https://github.com/[user]/[repo]/pull/482 branch u ovaj.
Napravljene su sljedeće izmjene:
- Dodana nova komponenta ChangesPage
- Prilagođene rute za navigaciju i za api
- Dodan useFetchChange hook
- Reusable helperi iz Changes komponente prebačeni u changes.helpers.ts, tako da se mogu koristiti i u ChangesPage
- Popravljeni tipovi",63,53,84.12698412698413,0,10.98333333333333,449.96666666666664,2880.0,3048.2333333333327
519,2859858515,2025-09-25T09:10:46Z,2025-09-25T20:05:51Z,2025-09-25T20:05:51Z,2025-09-25T20:05:53Z,2025-09-25T09:27:14Z,2025-09-25T09:10:46+00:00,[user_2],2,[user_2],6,[user_4]|[user]|[user_5]|[user_6]|[user_7]|[user_3],35,24,1,2,59,0,0,1,1,0,0,0,2025-09-25T20:04:03+00:00,2025-09-25T20:04:03+00:00,6,884 BE (Refactor): mapServiceNamesToFieldChanges,48,TypeScript,"Refaktor mapiranja imena usluga prilikom dohvacanja event promjena, cilj je bia izbjec mutacije u JS-u.",103,False,False,False,True,True,False,bZRXpTQF,0,"# Description

Refaktor mapiranja imena usluga prilikom dohvacanja event promjena, cilj je bia izbjec mutacije u JS-u.",16,3,18.75,0,653.2833333333334,653.2833333333334,0.0,655.0833333333334
520,2861018325,2025-09-25T14:56:37Z,2025-09-30T12:11:13Z,2025-09-30T12:11:13Z,2025-09-30T12:11:16Z,2025-09-25T15:00:30Z,2025-09-25T14:56:37+00:00,[user_2],2,[user_2],6,[user_4]|[user]|[user_5]|[user_6]|[user_7]|[user_3],20,76,5,5,96,2,2,3,1,2,0,0,2025-09-27T14:03:08+00:00,2025-09-30T10:52:29+00:00,7,841 FS Cleanup event service status,35,TypeScript,Cleanup logike filtriranja evenata po statusu. Status query parametar dolazi ko array ili samo ko string ako je samo jedan pa san prilagodia tip statusa. Neznan zasto je ovo filtriranje po statusu uopce ostalo na BE kad se samo fetchaju svi eventovi i sve se filtrira na FE osin statusa. Tribalo bi vidit ocemo li filtrirat sve na FE Promjene: - Pociscena logika filtriranja po statusu - Obrisani ne koristeni argumenti - Rename getPaginated -> getAll - Pociscen useFetchEvents da ne salje lokacije kad se svakako s njima nista ne radi na BE,541,False,False,False,True,True,True,0QBMqlJo,0,"# Description

Cleanup logike filtriranja evenata po statusu. Status query parametar dolazi ko array ili samo ko string ako je samo jedan pa san prilagodia tip statusa. Neznan zasto je ovo filtriranje po statusu uopce ostalo na BE kad se samo fetchaju svi eventovi i sve se filtrira na FE osin statusa. Tribalo bi vidit ocemo li filtrirat sve na FE

Promjene:
- Pociscena logika filtriranja po statusu
- Obrisani ne koristeni argumenti
- Rename getPaginated -> getAll
- Pociscen useFetchEvents da ne salje lokacije kad se svakako s njima nista ne radi na BE",88,16,18.181818181818183,0,2826.5166666666664,6955.866666666668,2880.0,4154.6
521,2863082348,2025-09-26T08:33:34Z,2025-09-26T08:39:08Z,2025-09-26T08:39:08Z,2025-09-26T08:39:16Z,,2025-09-26T08:33:34+00:00,[user_2],2,[user_2],0,,5,6,2,1,11,0,0,0,0,0,0,0,,,1,FE (Bug): delete event,22,TypeScript,"Initial values nisu imale ID pa nije moglo obrisat/restoreat event, sad se salje ID u initial values al ID maknemo u formi da bude validacija u create modu.",156,True,False,False,False,False,True,TASK_ID,0,"# Description

Initial values nisu imale ID pa nije moglo obrisat/restoreat event, sad se salje ID u initial values al ID maknemo u formi da bude validacija u create modu.",29,5,17.24137931034483,0,,,0.0,5.566666666666662
522,2863164633,2025-09-26T08:57:39Z,2025-09-29T12:13:03Z,2025-09-29T12:13:03Z,2025-09-29T12:13:05Z,2025-09-26T09:08:43Z,2025-09-26T08:57:39+00:00,[user_2],2,[user_2],7,[user_2]|[user_4]|[user]|[user_5]|[user_6]|[user_7]|[user_3],50,10,10,4,60,0,2,4,2,2,0,0,2025-09-27T14:21:51+00:00,2025-09-28T22:07:20+00:00,7,966 FS noUnkown,15,TypeScript,Dodan noUnkown() na pozivu validatora da provjeri nepoznata polja i baci gresku ako ih ima. Kad san doda to san ubra jos par stvari sta su falile/bile viska u validatorima.,172,False,False,True,False,True,True,kURoxUYR,0,"# Description

Dodan noUnkown() na pozivu validatora da provjeri nepoznata polja i baci gresku ako ih ima. Kad san doda to san ubra jos par stvari sta su falile/bile viska u validatorima.",31,5,16.129032258064516,0,1764.2,3669.6833333333334,2880.0,1635.3999999999996
523,2863702098,2025-09-26T11:13:38Z,2025-10-16T07:08:08Z,2025-10-16T07:08:08Z,2025-10-16T07:08:09Z,2025-09-28T11:55:30Z,2025-09-26T11:13:38+00:00,[user_6],6,[user_2],7,[user_2]|[user_4]|[user]|[user_5]|[user_6]|[user_7]|[user_3],1369,57,36,54,1426,3,35,8,3,4,1,0,2025-09-30T09:17:02+00:00,2025-10-15T06:51:14+00:00,7,928 fe ponude zadatak 1,23,TypeScript,"Dodan novi feature ponude. Novi tab u navigaciji, dodani api hokovi, FE rute, stranice i validacija. Forma ima 2 polja: - događaj (neobavezno) - sadržaj  ponude (obavezno)",171,False,True,False,False,False,True,vh90a2JS,0,"# Description

Dodan novi feature ponude. Novi tab u navigaciji, dodani api hokovi, FE rute, stranice i validacija. 

Forma ima 2 polja: 
- događaj (neobavezno)
- sadržaj  ponude (obavezno)",25,19,76.0,0,5643.4000000000015,27097.6,10080.0,18474.5
524,2866274956,2025-09-27T08:59:48Z,2025-09-27T09:14:51Z,2025-09-27T09:14:51Z,2025-09-27T09:14:53Z,,2025-09-27T08:59:48+00:00,[user_3],3,[user_3],3,[user_2]|[user]|[user_5],5,15,1,2,20,0,0,1,1,0,0,0,2025-09-27T09:08:30+00:00,2025-09-27T09:08:30+00:00,3,968 FE (Bug): EventForm hasUnsavedChanges je true bez izmjena,61,TypeScript,"Ovo bi popravila promjena initialValues u eventData u initial varijabli, ali mislim da je provjera preko form.dirty čišća. Ovo ćese svakako rišit s useEventForm.",161,True,False,False,False,False,True,Cu5aycrl,0,"# Description

Ovo bi popravila promjena initialValues u eventData u initial varijabli, ali mislim da je provjera preko form.dirty čišća. Ovo ćese svakako rišit s useEventForm.",25,24,96.0,1,8.7,8.7,15.049999999999995,-3.3306690738754696e-15
