Colony.label,Crop,Province,Location,Site.type,Time.point,Date,Total.bees.in.sample (based on weight),Total.mites (counts by alcohol wash),Percent.mites,Mean.temp.3wks,Total.precip.3wks,Day.Average.Wind.Spd.kmph,Night.Average.Wind.Spd.kmph
COR01u1,Corn,Ontario,Ontario,u,t3,44075,163.5875403,1,0.6112935,21.22442748,1.169444444,8.09375,10.959375
COR01u2,Corn,Ontario,Ontario,u,t3,44075,214.6799117,2,0.931619537,21.22442748,1.169444444,8.09375,10.959375
COR01u3,Corn,Ontario,Ontario,u,t3,44075,270.4724409,1,0.369723435,21.22442748,1.169444444,8.09375,10.959375
COR01u4,Corn,Ontario,Ontario,u,t3,44075,276.9093079,2,0.722258134,21.22442748,1.169444444,8.09375,10.959375
COR02u1,Corn,Ontario,Ontario,u,t3,44075,196.8782518,14,7.110993658,21.22442748,1.169444444,8.09375,10.959375
COR02u2,Corn,Ontario,Ontario,u,t3,44075,172.983871,0,0,21.22442748,1.169444444,8.09375,10.959375
COR02u3,Corn,Ontario,Ontario,u,t3,44075,189.1170431,2,1.057546145,21.22442748,1.169444444,8.09375,10.959375
COR02u4,Corn,Ontario,Ontario,u,t3,44075,189.8412698,0,0,21.22442748,1.169444444,8.09375,10.959375
COR03u1,Corn,Ontario,Ontario,u,t3,44075,193.8720174,10,5.158041958,21.22442748,1.169444444,8.09375,10.959375
COR03u2,Corn,Ontario,Ontario,u,t3,44075,162.0724346,9,5.553072626,21.22442748,1.169444444,8.09375,10.959375
COR03u3,Corn,Ontario,Ontario,u,t3,44075,138.0902413,2,1.448328267,21.22442748,1.169444444,8.09375,10.959375
COR03u4,Corn,Ontario,Ontario,u,t3,44075,322.3428571,6,1.861372097,21.22442748,1.169444444,8.09375,10.959375
COR01e1,Corn,Ontario,Ontario,e,t1,43945,384.9273608,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR01e2,Corn,Ontario,Ontario,e,t1,43945,350.7633588,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR01e3,Corn,Ontario,Ontario,e,t1,43945,369.8966408,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR01e4,Corn,Ontario,Ontario,e,t1,43945,348.091133,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR02e1,Corn,Ontario,Ontario,e,t1,43945,346.0171569,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR02e2,Corn,Ontario,Ontario,e,t1,43945,425.8323058,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR02e3,Corn,Ontario,Ontario,e,t1,43945,382.8187919,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR02e4,Corn,Ontario,Ontario,e,t1,43945,355.9594756,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR03e1,Corn,Ontario,Ontario,e,t1,43945,404.743083,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR03e2,Corn,Ontario,Ontario,e,t1,43945,396.8394437,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR03e3,Corn,Ontario,Ontario,e,t1,43945,350.5338078,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR03e4,Corn,Ontario,Ontario,e,t1,43945,383.416771,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR04e1,Corn,Ontario,Ontario,e,t1,43945,402.0245399,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR04e2,Corn,Ontario,Ontario,e,t1,43945,315.3234358,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR04e3,Corn,Ontario,Ontario,e,t1,43945,379.7674419,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR04e4,Corn,Ontario,Ontario,e,t1,43945,308.2236842,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR04u1,Corn,Ontario,Ontario,u,t1,43945,380.2030457,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR04u2,Corn,Ontario,Ontario,u,t1,43945,295.1048951,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR04u3,Corn,Ontario,Ontario,u,t1,43945,330.3804994,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR04u4,Corn,Ontario,Ontario,u,t1,43945,381.6425121,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR05e1,Corn,Ontario,Ontario,e,t1,43945,363.597561,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR05e2,Corn,Ontario,Ontario,e,t1,43945,306.69383,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR05e3,Corn,Ontario,Ontario,e,t1,43945,353.4547739,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR05e4,Corn,Ontario,Ontario,e,t1,43945,366.7989418,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR05u1,Corn,Ontario,Ontario,u,t1,43945,450.241838,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR05u2,Corn,Ontario,Ontario,u,t1,43945,341.4662085,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR05u3,Corn,Ontario,Ontario,u,t1,43945,319.0588235,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR05u4,Corn,Ontario,Ontario,u,t1,43945,352.5872443,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR01e1,Corn,Ontario,Ontario,e,t2,43964,363.8554217,0,0,5.504545455,1.386363636,12.36515023,17.32372291
COR01e2,Corn,Ontario,Ontario,e,t2,43964,284.1957255,0,0,5.504545455,1.386363636,12.36515023,17.32372291
COR01e3,Corn,Ontario,Ontario,e,t2,43964,305,0,0,5.504545455,1.386363636,12.36515023,17.32372291
COR01e4,Corn,Ontario,Ontario,e,t2,43964,325.1884422,0,0,5.504545455,1.386363636,12.36515023,17.32372291
COR02e1,Corn,Ontario,Ontario,e,t2,43964,294.5235487,0,0,5.504545455,1.386363636,12.36515023,17.32372291
COR02e2,Corn,Ontario,Ontario,e,t2,43964,286.0262009,0,0,5.504545455,1.386363636,12.36515023,17.32372291
COR02e3,Corn,Ontario,Ontario,e,t2,43964,229.1932059,0,0,5.504545455,1.386363636,12.36515023,17.32372291
COR02e4,Corn,Ontario,Ontario,e,t2,43964,305.5806088,1,0.327245896,5.504545455,1.386363636,12.36515023,17.32372291
COR03e1,Corn,Ontario,Ontario,e,t2,43964,335.1039261,1,0.298414886,5.504545455,1.386363636,12.36515023,17.32372291
COR03e2,Corn,Ontario,Ontario,e,t2,43964,325,0,0,5.504545455,1.386363636,12.36515023,17.32372291
COR03e3,Corn,Ontario,Ontario,e,t2,43964,298.1004902,0,0,5.504545455,1.386363636,12.36515023,17.32372291
COR03e4,Corn,Ontario,Ontario,e,t2,43964,309.7222222,0,0,5.504545455,1.386363636,12.36515023,17.32372291
COR04e1,Corn,Ontario,Ontario,e,t2,43977,373.9742087,0,0,10.06818182,1.679545455,10.78826531,17.16789216
COR04e2,Corn,Ontario,Ontario,e,t2,43977,292.1824104,0,0,10.06818182,1.679545455,10.78826531,17.16789216
COR04e3,Corn,Ontario,Ontario,e,t2,43977,317.8947368,0,0,10.06818182,1.679545455,10.78826531,17.16789216
COR04e4,Corn,Ontario,Ontario,e,t2,43977,238.7458007,1,0.418855535,10.06818182,1.679545455,10.78826531,17.16789216
COR04u1,Corn,Ontario,Ontario,u,t2,43977,301.1969532,0,0,9.75,2.277272727,5.269642857,11.32738095
COR04u2,Corn,Ontario,Ontario,u,t2,43977,345.1649602,0,0,9.75,2.277272727,5.269642857,11.32738095
COR04u3,Corn,Ontario,Ontario,u,t2,43977,318.1974742,0,0,9.75,2.277272727,5.269642857,11.32738095
COR04u4,Corn,Ontario,Ontario,u,t2,43977,329.4762485,4,1.214048059,9.75,2.277272727,5.269642857,11.32738095
COR05e1,Corn,Ontario,Ontario,e,t2,43977,252.1464646,0,0,10.06818182,1.679545455,10.78826531,17.16789216
COR05e2,Corn,Ontario,Ontario,e,t2,43977,263.4969325,0,0,10.06818182,1.679545455,10.78826531,17.16789216
COR05e3,Corn,Ontario,Ontario,e,t2,43977,317.9796696,0,0,10.06818182,1.679545455,10.78826531,17.16789216
COR05e4,Corn,Ontario,Ontario,e,t2,43977,271.4039125,0,0,10.06818182,1.679545455,10.78826531,17.16789216
COR05u1,Corn,Ontario,Ontario,u,t2,43977,275.6097561,0,0,9.75,2.277272727,5.269642857,11.32738095
COR05u2,Corn,Ontario,Ontario,u,t2,43977,307.8276699,0,0,9.75,2.277272727,5.269642857,11.32738095
COR05u3,Corn,Ontario,Ontario,u,t2,43977,360.8142494,0,0,9.75,2.277272727,5.269642857,11.32738095
COR05u4,Corn,Ontario,Ontario,u,t2,43977,304.3528064,0,0,9.75,2.277272727,5.269642857,11.32738095
COR01e1,Corn,Ontario,Ontario,e,t3,44076,298.1121899,0,0,19.20909091,1.761904762,7.764880952,14.328125
COR01e2,Corn,Ontario,Ontario,e,t3,44076,357.1646341,2,0.559965856,19.20909091,1.761904762,7.764880952,14.328125
COR01e3,Corn,Ontario,Ontario,e,t3,44076,405.4490414,3,0.739920358,19.20909091,1.761904762,7.764880952,14.328125
COR01e4,Corn,Ontario,Ontario,e,t3,44076,351.8343816,9,2.558021749,19.20909091,1.761904762,7.764880952,14.328125
COR02e1,Corn,Ontario,Ontario,e,t3,44076,424.2099898,3,0.707196924,19.20909091,1.761904762,7.764880952,14.328125
COR02e2,Corn,Ontario,Ontario,e,t3,44076,454.8053528,3,0.659622843,19.20909091,1.761904762,7.764880952,14.328125
COR02e3,Corn,Ontario,Ontario,e,t3,44076,346.3837994,1,0.288697105,19.20909091,1.761904762,7.764880952,14.328125
COR02e4,Corn,Ontario,Ontario,e,t3,44076,455.4323725,0,0,19.20909091,1.761904762,7.764880952,14.328125
COR03e1,Corn,Ontario,Ontario,e,t3,44076,368.1186284,2,0.543303122,19.20909091,1.761904762,7.764880952,14.328125
COR03e2,Corn,Ontario,Ontario,e,t3,44076,271.9339623,1,0.36773634,19.20909091,1.761904762,7.764880952,14.328125
COR03e3,Corn,Ontario,Ontario,e,t3,44076,372.6935313,6,1.609901835,19.20909091,1.761904762,7.764880952,14.328125
COR03e4,Corn,Ontario,Ontario,e,t3,44076,368.2098765,0,0,19.20909091,1.761904762,7.764880952,14.328125
COR04e1,Corn,Ontario,Ontario,e,t3,44076,446.3891675,2,0.448039546,19.20909091,1.761904762,7.764880952,14.328125
COR04e2,Corn,Ontario,Ontario,e,t3,44076,354.2457542,1,0.282289904,19.20909091,1.761904762,7.764880952,14.328125
COR04e3,Corn,Ontario,Ontario,e,t3,44076,336.2745098,1,0.297376093,19.20909091,1.761904762,7.764880952,14.328125
COR04e4,Corn,Ontario,Ontario,e,t3,44076,346.969697,2,0.576419214,19.20909091,1.761904762,7.764880952,14.328125
COR04u1,Corn,Ontario,Ontario,u,t3,44077,390.885947,17,4.349094698,17.45909091,4.525,3.916666667,8.384375
COR04u2,Corn,Ontario,Ontario,u,t3,44077,271.1518858,6,2.212781955,17.45909091,4.525,3.916666667,8.384375
COR04u3,Corn,Ontario,Ontario,u,t3,44077,366.7287978,11,2.999491741,17.45909091,4.525,3.916666667,8.384375
COR04u4,Corn,Ontario,Ontario,u,t3,44077,361.4583333,33,9.129682997,17.45909091,4.525,3.916666667,8.384375
COR05e1,Corn,Ontario,Ontario,e,t3,44076,398.8474204,0,0,19.20909091,1.761904762,7.764880952,14.328125
COR05e2,Corn,Ontario,Ontario,e,t3,44076,351.5136719,0,0,19.20909091,1.761904762,7.764880952,14.328125
COR05e3,Corn,Ontario,Ontario,e,t3,44076,341.6743756,1,0.292676323,19.20909091,1.761904762,7.764880952,14.328125
COR05e4,Corn,Ontario,Ontario,e,t3,44076,341.2663755,0,0,19.20909091,1.761904762,7.764880952,14.328125
COR05u1,Corn,Ontario,Ontario,u,t3,44077,412.3300971,3,0.727572404,17.45909091,4.525,3.916666667,8.384375
COR05u2,Corn,Ontario,Ontario,u,t3,44077,431.3325991,0,0,17.45909091,4.525,3.916666667,8.384375
COR05u3,Corn,Ontario,Ontario,u,t3,44077,421.1122047,1,0.237466402,17.45909091,4.525,3.916666667,8.384375
COR05u4,Corn,Ontario,Ontario,u,t3,44077,389.380531,0,0,17.45909091,4.525,3.916666667,8.384375
CRA01e1,Cranberry,British Columbia,British Columbia,e,t1,43985,311.4145031,0,0,14.08769231,2.139393939,5.352678571,8.375
CRA01e2,Cranberry,British Columbia,British Columbia,e,t1,43985,304.2965061,1,0.328626843,14.08769231,2.139393939,5.352678571,8.375
CRA01e3,Cranberry,British Columbia,British Columbia,e,t1,43985,225.4850088,0,0,14.08769231,2.139393939,5.352678571,8.375
CRA01e4,Cranberry,British Columbia,British Columbia,e,t1,43985,219.8482428,0,0,14.08769231,2.139393939,5.352678571,8.375
CRA01u1,Cranberry,British Columbia,British Columbia,u,t1,43985,303.5046729,3,0.988452656,14.08769231,2.139393939,5.352678571,8.375
CRA01u2,Cranberry,British Columbia,British Columbia,u,t1,43985,242.3484119,1,0.412629071,14.08769231,2.139393939,5.352678571,8.375
CRA01u3,Cranberry,British Columbia,British Columbia,u,t1,43985,292.7118644,1,0.341632889,14.08769231,2.139393939,5.352678571,8.375
CRA01u4,Cranberry,British Columbia,British Columbia,u,t1,43985,296.2756052,0,0,14.08769231,2.139393939,5.352678571,8.375
CRA02e1,Cranberry,British Columbia,British Columbia,e,t1,43985,369.1121495,0,0,14.08769231,2.139393939,5.352678571,8.375
CRA02e2,Cranberry,British Columbia,British Columbia,e,t1,43985,272.9680365,0,0,14.08769231,2.139393939,5.352678571,8.375
CRA02e3,Cranberry,British Columbia,British Columbia,e,t1,43985,284.9767442,0,0,14.08769231,2.139393939,5.352678571,8.375
CRA02e4,Cranberry,British Columbia,British Columbia,e,t1,43985,295.9,0,0,14.08769231,2.139393939,5.352678571,8.375
CRA02u1,Cranberry,British Columbia,British Columbia,u,t1,43985,333.5894621,0,0,14.08769231,2.139393939,5.352678571,8.375
CRA02u2,Cranberry,British Columbia,British Columbia,u,t1,43985,315.9185804,0,0,14.08769231,2.139393939,5.352678571,8.375
CRA02u3,Cranberry,British Columbia,British Columbia,u,t1,43985,282.1270962,0,0,14.08769231,2.139393939,5.352678571,8.375
CRA02u4,Cranberry,British Columbia,British Columbia,u,t1,43985,318.268359,0,0,14.08769231,2.139393939,5.352678571,8.375
CRA03e1,Cranberry,British Columbia,British Columbia,e,t1,43985,210.1681345,20,9.516190476,13.84646465,1.727922078,7.995535714,8.811808894
CRA03e2,Cranberry,British Columbia,British Columbia,e,t1,43985,221.9983207,1,0.450453858,13.84646465,1.727922078,7.995535714,8.811808894
CRA03e3,Cranberry,British Columbia,British Columbia,e,t1,43985,308.0097087,0,0,13.84646465,1.727922078,7.995535714,8.811808894
CRA03e4,Cranberry,British Columbia,British Columbia,e,t1,43985,192.8876245,1,0.518436578,13.84646465,1.727922078,7.995535714,8.811808894
CRA03u1,Cranberry,British Columbia,British Columbia,u,t1,43985,264.6494157,1,0.377858382,13.84646465,1.727922078,7.995535714,8.811808894
CRA03u2,Cranberry,British Columbia,British Columbia,u,t1,43985,235.3839038,1,0.424837886,13.84646465,1.727922078,7.995535714,8.811808894
CRA03u3,Cranberry,British Columbia,British Columbia,u,t1,43985,258.6717428,1,0.386590352,13.84646465,1.727922078,7.995535714,8.811808894
CRA03u4,Cranberry,British Columbia,British Columbia,u,t1,43985,260.0290698,1,0.384572387,13.84646465,1.727922078,7.995535714,8.811808894
CRA01e1,Cranberry,British Columbia,British Columbia,e,t2,44000,289.4060284,1,0.345535304,14.47727273,1.925757576,5.348001701,8.626311275
CRA01e2,Cranberry,British Columbia,British Columbia,e,t2,44000,339.744898,0,0,14.47727273,1.925757576,5.348001701,8.626311275
CRA01e3,Cranberry,British Columbia,British Columbia,e,t2,44000,295.6300813,0,0,14.47727273,1.925757576,5.348001701,8.626311275
CRA01e4,Cranberry,British Columbia,British Columbia,e,t2,44000,307.6605505,0,0,14.47727273,1.925757576,5.348001701,8.626311275
CRA01u1,Cranberry,British Columbia,British Columbia,u,t2,44000,343.4844193,4,1.164536082,14.47727273,1.925757576,5.348001701,8.626311275
CRA01u2,Cranberry,British Columbia,British Columbia,u,t2,44000,256.9143932,0,0,14.47727273,1.925757576,5.348001701,8.626311275
CRA01u3,Cranberry,British Columbia,British Columbia,u,t2,44000,266.9838249,0,0,14.47727273,1.925757576,5.348001701,8.626311275
CRA01u4,Cranberry,British Columbia,British Columbia,u,t2,44000,313.6281588,0,0,14.47727273,1.925757576,5.348001701,8.626311275
CRA02e1,Cranberry,British Columbia,British Columbia,e,t2,44000,308.5427136,0,0,14.22944162,2.106535948,7.819302721,8.998281688
CRA02e2,Cranberry,British Columbia,British Columbia,e,t2,44000,237.0075047,1,0.421927568,14.22944162,2.106535948,7.819302721,8.998281688
CRA02e3,Cranberry,British Columbia,British Columbia,e,t2,44000,212.0387454,1,0.471611921,14.22944162,2.106535948,7.819302721,8.998281688
CRA02e4,Cranberry,British Columbia,British Columbia,e,t2,44000,340.4761905,5,1.468531469,14.22944162,2.106535948,7.819302721,8.998281688
CRA02u1,Cranberry,British Columbia,British Columbia,u,t2,44000,244.3943944,1,0.409174688,14.47727273,1.925757576,5.348001701,8.626311275
CRA02u2,Cranberry,British Columbia,British Columbia,u,t2,44000,278.5931174,1,0.358946412,14.47727273,1.925757576,5.348001701,8.626311275
CRA02u3,Cranberry,British Columbia,British Columbia,u,t2,44000,312.8599801,0,0,14.47727273,1.925757576,5.348001701,8.626311275
CRA02u4,Cranberry,British Columbia,British Columbia,u,t2,44000,257.4557316,0,0,14.47727273,1.925757576,5.348001701,8.626311275
CRA03e1,Cranberry,British Columbia,British Columbia,e,t2,44000,359.8029046,22,6.1144587,14.22944162,2.106535948,7.819302721,8.998281688
CRA03e2,Cranberry,British Columbia,British Columbia,e,t2,44000,333.0223881,5,1.50140056,14.22944162,2.106535948,7.819302721,8.998281688
CRA03e3,Cranberry,British Columbia,British Columbia,e,t2,44000,282.1005917,2,0.708966964,14.22944162,2.106535948,7.819302721,8.998281688
CRA03e4,Cranberry,British Columbia,British Columbia,e,t2,44000,288.182721,0,0,14.22944162,2.106535948,7.819302721,8.998281688
CRA03u1,Cranberry,British Columbia,British Columbia,u,t2,44000,335.6548857,9,2.681325488,14.22944162,2.106535948,7.819302721,8.998281688
CRA03u2,Cranberry,British Columbia,British Columbia,u,t2,44000,308.0889788,4,1.298326223,14.22944162,2.106535948,7.819302721,8.998281688
CRA03u3,Cranberry,British Columbia,British Columbia,u,t2,44000,298.6363636,1,0.334855403,14.22944162,2.106535948,7.819302721,8.998281688
CRA03u4,Cranberry,British Columbia,British Columbia,u,t2,44000,262.1743037,0,0,14.22944162,2.106535948,7.819302721,8.998281688
CRA01e1,Cranberry,British Columbia,British Columbia,e,t3,44018,348.5431842,1,0.286908494,16.21363636,1.622727273,5.239087302,7.889802632
CRA01e2,Cranberry,British Columbia,British Columbia,e,t3,44018,369.172553,0,0,16.21363636,1.622727273,5.239087302,7.889802632
CRA01e3,Cranberry,British Columbia,British Columbia,e,t3,44018,294.6911197,0,0,16.21363636,1.622727273,5.239087302,7.889802632
CRA01e4,Cranberry,British Columbia,British Columbia,e,t3,44018,237.1010638,1,0.421761077,16.21363636,1.622727273,5.239087302,7.889802632
CRA01u1,Cranberry,British Columbia,British Columbia,u,t3,44018,260.8159393,5,1.917060749,16.21363636,1.622727273,5.239087302,7.889802632
CRA01u2,Cranberry,British Columbia,British Columbia,u,t3,44018,330.6451613,2,0.604878049,16.21363636,1.622727273,5.239087302,7.889802632
CRA01u3,Cranberry,British Columbia,British Columbia,u,t3,44018,323.6140725,1,0.309010048,16.21363636,1.622727273,5.239087302,7.889802632
CRA01u4,Cranberry,British Columbia,British Columbia,u,t3,44018,358.1926514,4,1.116717494,16.21363636,1.622727273,5.239087302,7.889802632
CRA02e1,Cranberry,British Columbia,British Columbia,e,t3,44018,369.4037146,1,0.270706536,15.8751269,1.89869281,7.672123016,8.242453791
CRA02e2,Cranberry,British Columbia,British Columbia,e,t3,44018,321.4285714,2,0.622222222,15.8751269,1.89869281,7.672123016,8.242453791
CRA02e3,Cranberry,British Columbia,British Columbia,e,t3,44018,288.0412371,1,0.347172513,15.8751269,1.89869281,7.672123016,8.242453791
CRA02e4,Cranberry,British Columbia,British Columbia,e,t3,44018,306.3700708,6,1.958415842,15.8751269,1.89869281,7.672123016,8.242453791
CRA02u1,Cranberry,British Columbia,British Columbia,u,t3,44018,261.025641,2,0.766208251,16.21363636,1.622727273,5.239087302,7.889802632
CRA02u2,Cranberry,British Columbia,British Columbia,u,t3,44018,266.2298387,0,0,16.21363636,1.622727273,5.239087302,7.889802632
CRA02u3,Cranberry,British Columbia,British Columbia,u,t3,44018,296.9565217,1,0.336749634,16.21363636,1.622727273,5.239087302,7.889802632
CRA02u4,Cranberry,British Columbia,British Columbia,u,t3,44018,253.4766697,1,0.394513626,16.21363636,1.622727273,5.239087302,7.889802632
CRA03e1,Cranberry,British Columbia,British Columbia,e,t3,44018,323.7204724,26,8.031620553,15.8751269,1.89869281,7.672123016,8.242453791
CRA03e2,Cranberry,British Columbia,British Columbia,e,t3,44018,265.6154629,5,1.882420529,15.8751269,1.89869281,7.672123016,8.242453791
CRA03e3,Cranberry,British Columbia,British Columbia,e,t3,44018,311.2689394,3,0.963796775,15.8751269,1.89869281,7.672123016,8.242453791
CRA03e4,Cranberry,British Columbia,British Columbia,e,t3,44018,282.7254306,3,1.061100161,15.8751269,1.89869281,7.672123016,8.242453791
CRA03u1,Cranberry,British Columbia,British Columbia,u,t3,44018,282.4423963,5,1.770272475,15.8751269,1.89869281,7.672123016,8.242453791
CRA03u2,Cranberry,British Columbia,British Columbia,u,t3,44018,384.9615807,2,0.519532364,15.8751269,1.89869281,7.672123016,8.242453791
CRA03u3,Cranberry,British Columbia,British Columbia,u,t3,44018,268.6693148,1,0.372204768,15.8751269,1.89869281,7.672123016,8.242453791
CRA03u4,Cranberry,British Columbia,British Columbia,u,t3,44018,340.8996898,2,0.586682845,15.8751269,1.89869281,7.672123016,8.242453791
HBB01e1,Highbush blueberry,British Columbia,British Columbia,e,t1,43948,339.0510949,2,0.589881593,10.55808081,1.023863636,6.872661565,7.941329657
HBB01e2,Highbush blueberry,British Columbia,British Columbia,e,t1,43948,285.0043215,0,0,10.55808081,1.023863636,6.872661565,7.941329657
HBB01e3,Highbush blueberry,British Columbia,British Columbia,e,t1,43948,260.5388273,4,1.535279805,10.55808081,1.023863636,6.872661565,7.941329657
HBB01e4,Highbush blueberry,British Columbia,British Columbia,e,t1,43948,257.5,3,1.165048544,10.55808081,1.023863636,6.872661565,7.941329657
HBB01u1,Highbush blueberry,British Columbia,British Columbia,u,t1,43948,280.8108108,4,1.424446583,10.55808081,1.023863636,6.872661565,7.941329657
HBB01u2,Highbush blueberry,British Columbia,British Columbia,u,t1,43948,200.5426357,0,0,10.55808081,1.023863636,6.872661565,7.941329657
HBB01u3,Highbush blueberry,British Columbia,British Columbia,u,t1,43948,227.1586345,0,0,10.55808081,1.023863636,6.872661565,7.941329657
HBB01u4,Highbush blueberry,British Columbia,British Columbia,u,t1,43948,203.7555228,0,0,10.55808081,1.023863636,6.872661565,7.941329657
HBB02e1,Highbush blueberry,British Columbia,British Columbia,e,t1,43948,250.4884547,0,0,10.55808081,1.023863636,6.872661565,7.941329657
HBB02e2,Highbush blueberry,British Columbia,British Columbia,e,t1,43948,321.416309,0,0,10.55808081,1.023863636,6.872661565,7.941329657
HBB02e3,Highbush blueberry,British Columbia,British Columbia,e,t1,43948,275.9226714,2,0.724840764,10.55808081,1.023863636,6.872661565,7.941329657
HBB02e4,Highbush blueberry,British Columbia,British Columbia,e,t1,43948,267.7434908,8,2.98793445,10.55808081,1.023863636,6.872661565,7.941329657
HBB02u1,Highbush blueberry,British Columbia,British Columbia,u,t1,43948,275.7981018,0,0,10.55808081,1.023863636,6.872661565,7.941329657
HBB02u2,Highbush blueberry,British Columbia,British Columbia,u,t1,43948,216.3352273,1,0.462245568,10.55808081,1.023863636,6.872661565,7.941329657
HBB02u3,Highbush blueberry,British Columbia,British Columbia,u,t1,43948,208.0980066,1,0.480542806,10.55808081,1.023863636,6.872661565,7.941329657
HBB02u4,Highbush blueberry,British Columbia,British Columbia,u,t1,43948,275.4892368,3,1.088971763,10.55808081,1.023863636,6.872661565,7.941329657
HBB03e1,Highbush blueberry,British Columbia,British Columbia,e,t1,43948,254.3273013,0,0,10.55808081,1.023863636,6.872661565,7.941329657
HBB03e2,Highbush blueberry,British Columbia,British Columbia,e,t1,43948,261.7149758,0,0,10.55808081,1.023863636,6.872661565,7.941329657
